"","2009","2010","2011","2012","2013"
"1",781275.070059549,-10617507.7480532,-17528141.6259411,-30962202.4031851,-36271766.8144447
"2",-3368402.21758984,-10029071.7434109,-16689662.3132797,-29391532.9021803,-33791228.0151233
"3",-3368402.21758984,-8844080.94019491,-17215774.132271,-29064956.3409219,-25954971.1294983
"4",781275.070059549,-9152318.02718952,-20009084.4707807,-34249964.0502611,-32877490.5626979
"5",781275.070059549,-9931551.20271504,-19544388.0453328,-35138086.277843,-31729607.8300655
"6",781275.070059549,-9234969.47167422,-14066672.3875305,-20692069.813525,-24257154.6646017
"7",781275.070059549,-9791859.33931207,-13762895.9040092,-21507657.1734153,-23462142.5619523
"8",781275.070059549,-10741635.218616,-6570966.75825457,-7871848.20354864,-7849605.16487517
"9",-3368402.21758984,-7907720.7532124,-21989584.4581521,-37451213.7570449,-35122291.1606448
"10",-3368402.21758984,-8643707.11881295,-11788704.5400379,-16277710.1587031,-14117846.4769659
"11",781275.070059549,-11097446.4483159,-14137251.5864368,-24248505.7045161,-30001466.8450443
"12",781275.070059549,-9257833.51090523,-19764563.6306782,-33451357.365215,-36049699.2003866
"13",781275.070059549,-10943246.3888831,-9257382.66792856,-13448727.7611772,-17645044.2886977
"14",781275.070059549,-9487474.23638745,-19814058.7878427,-33804899.5662391,-35936440.3453171
"15",4930952.35770893,-11845758.9457305,-14053866.9647704,-25352996.8609223,-23485962.8952256
"16",781275.070059549,-10119756.6655006,-11369132.752959,-17151716.5898374,-16691642.0248484
"17",781275.070059549,-10952706.6185731,-11979435.8816743,-20130010.8161999,-18951245.0584455
"18",781275.070059549,-11356658.857456,-8522729.34349794,-12954378.4781609,-16962650.4143447
"19",781275.070059549,-8554465.8786333,-15333059.605137,-23187726.2502484,-19832956.7153467
"20",-3368402.21758984,-7465746.11322639,-17035246.4515729,-25888923.6064271,-24242041.2012206
"21",781275.070059549,-10084320.2602509,-11788131.4360416,-17478540.5426249,-24363445.1761042
"22",-3368402.21758984,-10187585.7658525,-15347910.8304135,-26734363.0490263,-31886144.8668545
"23",-3368402.21758984,-10167306.6596703,-9949214.42813965,-16116724.5615112,-13793489.9768216
"24",4930952.35770893,-9302333.22408896,-19704124.2204126,-30953162.2395339,-37736454.982337
"25",4930952.35770893,-8535893.7259239,-17028998.7337056,-24467359.6811608,-25882862.5853045
"26",781275.070059549,-11967198.0332009,-10388283.3694752,-18510622.7626474,-18679228.421532
"27",4930952.35770893,-10054280.8138283,-14999565.4949783,-21894677.5541306,-29965172.9737542
"28",4930952.35770893,-9429772.27189314,-18483684.5614825,-29678022.3886424,-30108465.5295557
"29",-3368402.21758984,-7435995.43657286,-19907754.784098,-30944762.782301,-34315876.8075212
"30",4930952.35770893,-8804466.30489268,-17532684.8845095,-25995016.9454264,-28843711.5110582
"31",-3368402.21758984,-8602312.19656594,-19387013.221826,-33850175.202727,-27549486.7854999
"32",781275.070059549,-10110275.0921332,-17675482.4590054,-29389173.1966785,-42430962.4618047
"33",781275.070059549,-12905946.7511121,-8234572.56603628,-16923851.6559745,-9746415.1388875
"34",4930952.35770893,-10412160.3602885,-19456444.5568897,-33909230.0390431,-31847580.5005562
"35",4930952.35770893,-11749356.0797741,-15759703.059876,-28010906.7476015,-29804271.3062335
"36",4930952.35770893,-12722645.4996525,-3701281.89850424,-4411355.15548841,-5696756.13194801
"37",-3368402.21758984,-8287138.76024162,-14538406.7381783,-21313220.3515754,-24893142.0463846
