CUSIP	Maturity Term	Debt.Outstanding	Coupon
none	2009	9	9860950.67	 0.06330 
705220AL5	2009	9	91447744	 0.07650 
30161NAB7	2010	5	400000000	 0.04450 
202795HJ2	2010	7	212000000	 0.04740 
202795HP8	2011	5	345000000	 0.05400 
30161MAB9	2011	10	699975000	 0.06950 
30161NAA9	2011	10	500000000	 0.06750 
693304AB3	2011	10	250000000	 0.05950 
202795AW0	2011	50	3200000	 0.04750 
246015BL4	2012	4	150000000	 0.04000 
202795HE3	2012	10	450000000	 0.06150 
693304AD9	2012	10	225000000	 0.04750 
693304AM9	2013	5	300000000	 0.05600 
202795FJ4	2013	20	125000000	 0.07625 
202795FM7	2013	20	127000000	 0.07500 
693304AN7	2014	5	250000000	 0.05000 
30161MAD5	2014	11	500000000	 0.05350 
451888CQ2	2014	20	17000000	 0.05850 
30161NAD3	2015	10	800000000	 0.04900 
202795HH6	2015	12	260000000	 0.04700 
202795HN3	2016	10	415000000	 0.05950 
202796HS2	2017	10	425000000	 0.06150 
30161MAE3	2017	10	700000000	 0.06200 
202795HU7	2018	10	700000000	 0.05800 
693304AL1	2018	10	500000000	 0.05350 
202795GX2	2018	20	140000000	 0.06950 
61360QAA	2028	30	78105000	 0.07380 
20035AAA2	2033	30	200000000	 0.06350 
202795HG8	2033	30	253600000	 0.05875 
693356AA3	2033	30	100000000	 0.05750 
693304AG2	2034	30	75000000	 0.05900 
30161NAC5	2035	30	500000000	 0.05625 
202795HK9	2036	30	625000000	 0.05900 
693304AH0	2036	30	300000000	 0.05950 
693304AJ6	2037	30	175000000	 0.05700 
202795HT0	2038	30	450000000	 0.06450 
