# Treasury Yield Curve Data: http://www.ustreas.gov/offices/domestic-finance/debt-management/interest-rate/yield_historical_main.shtml
# Using R: Treasury<-read.table("584/Treasury Curves.txt", header=T, skip=2)
Date 	m1.mo 	m3.mo 	m6.mo 	m1.yr 	m2.yr 	m3.yr 	m5.yr 	m7.yr 	m10.yr 	m20.yr 	m30.yr
01/02/02 	1.73 	1.74 	1.85 	2.28 	3.22 	3.75 	4.52 	4.97 	5.20 	5.86 	5.56
01/03/02 	1.73 	1.73 	1.82 	2.24 	3.19 	3.71 	4.48 	4.93 	5.16 	5.83 	5.54
01/04/02 	1.72 	1.72 	1.82 	2.25 	3.19 	3.72 	4.50 	4.97 	5.18 	5.87 	5.57
01/07/02 	1.70 	1.68 	1.77 	2.19 	3.08 	3.61 	4.39 	4.86 	5.09 	5.76 	5.49
01/08/02 	1.70 	1.68 	1.77 	2.19 	3.07 	3.60 	4.39 	4.86 	5.10 	5.77 	5.51
01/09/02 	1.68 	1.68 	1.77 	2.17 	3.03 	3.57 	4.38 	4.86 	5.10 	5.76 	5.51
01/10/02 	1.66 	1.68 	1.75 	2.10 	2.94 	3.46 	4.27 	4.74 	5.00 	5.64 	5.42
01/11/02 	1.62 	1.58 	1.62 	1.98 	2.76 	3.28 	4.14 	4.65 	4.92 	5.60 	5.37
01/14/02 	1.62 	1.58 	1.63 	2.00 	2.79 	3.32 	4.15 	4.64 	4.91 	5.62 	5.38
01/15/02 	1.64 	1.60 	1.63 	1.99 	2.79 	3.32 	4.14 	4.62 	4.88 	5.56 	5.34
01/16/02 	1.62 	1.61 	1.65 	2.01 	2.84 	3.36 	4.16 	4.62 	4.88 	5.58 	5.36
01/17/02 	1.60 	1.64 	1.73 	2.09 	2.96 	3.49 	4.28 	4.73 	4.98 	5.65 	5.41
01/18/02 	1.59 	1.62 	1.71 	2.08 	2.91 	3.43 	4.23 	4.69 	4.94 	5.59 	5.36
01/22/02 	1.67 	1.70 	1.77 	2.11 	2.97 	3.48 	4.27 	4.72 	4.96 	5.62 	5.39
01/23/02 	1.70 	1.71 	1.78 	2.15 	3.07 	3.58 	4.36 	4.81 	5.05 	5.73 	5.48
01/24/02 	1.69 	1.72 	1.82 	2.22 	3.15 	3.67 	4.40 	4.82 	5.07 	5.71 	5.47
01/25/02 	1.69 	1.72 	1.83 	2.25 	3.17 	3.71 	4.46 	4.86 	5.10 	5.72 	5.47
01/28/02 	1.71 	1.76 	1.88 	2.28 	3.19 	3.73 	4.48 	4.88 	5.12 	5.72 	5.47
01/29/02 	1.72 	1.72 	1.84 	2.23 	3.05 	3.59 	4.35 	4.76 	5.02 	5.63 	5.40
01/30/02 	1.70 	1.75 	1.86 	2.23 	3.06 	3.61 	4.37 	4.77 	5.02 	5.64 	5.41
01/31/02 	1.69 	1.76 	1.89 	2.29 	3.16 	3.70 	4.42 	4.82 	5.07 	5.68 	5.44
02/01/02 	1.69 	1.76 	1.87 	2.22 	3.08 	3.62 	4.37 	4.78 	5.02 	5.63 	5.40
